Ticket,slope_normalized,rsi_14,HourOfDay,DayOfWeek,ATR_normalized,dist_ema_atr,bb_position,is_trend,is_long
2,-0.07079041004180908,9.851727485656738,0.0,4.0,0.7110803723335266,-24.44096565246582,-0.3156284987926483,0.0,1.0
4,-0.13217945396900177,70.2176284790039,14.0,2.0,1.3710662126541138,-1.9419224262237549,1.2759087085723877,0.0,0.0
6,-0.10818017274141312,71.63838958740234,15.0,2.0,1.5379234552383423,-1.547455072402954,1.1586774587631226,0.0,0.0
8,-0.05946803092956543,15.550556182861328,13.0,4.0,0.7885286211967468,-21.667964935302734,0.06986016035079956,0.0,1.0
10,-0.08966466039419174,69.19407653808594,9.0,1.0,0.3956699073314667,-11.680279731750488,1.2601099014282227,0.0,0.0
12,-0.09551878273487091,68.18102264404297,15.0,1.0,0.5232638120651245,-5.925018310546875,1.1063945293426514,0.0,0.0
14,-0.09551878273487091,71.11425018310547,16.0,1.0,0.5962972044944763,-3.7352664470672607,1.100986361503601,0.0,0.0
16,-0.1118941679596901,66.04489135742188,10.0,0.0,0.6480383276939392,-2.2543628215789795,1.1149977445602417,0.0,0.0
18,-0.11833856254816055,76.70301055908203,14.0,1.0,0.9999902248382568,2.9657866954803467,1.494869589805603,0.0,0.0
20,-0.10690143704414368,77.38165283203125,17.0,1.0,1.0891505479812622,3.3776907920837402,1.0506316423416138,0.0,0.0
22,-0.07807479798793793,71.08926391601562,15.0,3.0,0.6904364824295044,2.12235426902771,1.171381950378418,0.0,0.0
24,-0.07807479798793793,72.62840270996094,17.0,3.0,1.2496848106384277,2.11833119392395,1.1353708505630493,0.0,0.0
26,-0.054516904056072235,69.97076416015625,12.0,1.0,0.561613917350769,6.355945110321045,1.026990532875061,0.0,0.0
28,-0.04869218170642853,18.415081024169922,15.0,3.0,0.9324374198913574,-7.646762847900391,-0.28767362236976624,0.0,1.0
30,-0.04869218170642853,17.31979751586914,16.0,3.0,1.0562119483947754,-7.245675086975098,-0.14604100584983826,0.0,1.0
32,-0.11108377575874329,18.15605926513672,9.0,1.0,0.4779477119445801,-35.642459869384766,-0.06202046945691109,0.0,1.0
34,-0.10838882625102997,16.916534423828125,12.0,1.0,0.606818675994873,-29.093624114990234,-0.007237601559609175,0.0,1.0
36,-0.10421030968427658,17.818071365356445,11.0,2.0,0.5631170272827148,-34.800716400146484,-0.12901385128498077,0.0,1.0
38,-0.12036588042974472,66.6020278930664,14.0,0.0,0.7100906372070312,-8.756272315979004,1.1776793003082275,0.0,0.0
40,-0.11968064308166504,65.2646484375,17.0,0.0,1.0002962350845337,-5.449272632598877,1.0475186109542847,0.0,0.0
42,-0.11728911846876144,66.3320541381836,14.0,1.0,0.9021982550621033,-4.0466532707214355,1.0048937797546387,0.0,0.0
44,-0.12648425996303558,66.12236785888672,17.0,2.0,1.5734531879425049,-1.347664713859558,1.184819221496582,0.0,0.0
46,-0.044688403606414795,65.49018096923828,13.0,4.0,0.7455211877822876,1.6943550109863281,1.1322413682937622,0.0,0.0
48,-0.044688403606414795,71.94037628173828,14.0,4.0,0.7392871379852295,3.6427001953125,1.2063534259796143,0.0,0.0
50,-0.03981322795152664,67.78730010986328,16.0,4.0,0.7292767763137817,3.3419992923736572,0.9928973317146301,0.0,0.0
52,-0.03981322795152664,73.41278839111328,17.0,4.0,0.8253422975540161,4.7528815269470215,1.0890053510665894,0.0,0.0
54,-0.04552428796887398,67.29183959960938,11.0,0.0,0.5091431140899658,7.821357727050781,0.9207539558410645,0.0,0.0
56,-0.04552428796887398,71.20340728759766,12.0,0.0,0.5205797553062439,9.194599151611328,1.1077265739440918,0.0,0.0
58,-0.04552428796887398,74.32617950439453,14.0,0.0,0.5750360488891602,9.414728164672852,1.0758546590805054,0.0,0.0
60,-0.03211325779557228,68.5779800415039,11.0,1.0,0.3756886422634125,16.314687728881836,1.022914171218872,0.0,0.0
62,-0.023537728935480118,65.20008850097656,12.0,2.0,1.9197989702224731,2.8716793060302734,1.038718819618225,0.0,0.0
64,-0.023537728935480118,66.59410095214844,13.0,2.0,1.8037824630737305,3.185429334640503,1.0561527013778687,0.0,0.0
66,-0.021187473088502884,66.44727325439453,8.0,3.0,0.7539329528808594,8.12036418914795,1.155245304107666,0.0,0.0
68,-0.021187473088502884,70.44542694091797,9.0,3.0,0.645397961139679,10.367733001708984,1.1967283487319946,0.0,0.0
70,-0.04216020554304123,65.47075653076172,8.0,3.0,0.8524795174598694,-0.332500159740448,1.1270517110824585,0.0,0.0
72,-0.04216020554304123,67.57970428466797,9.0,3.0,0.8206796646118164,0.08501455187797546,1.089019775390625,0.0,0.0
74,-0.04027975723147392,67.39349365234375,11.0,3.0,0.8739633560180664,0.3327031135559082,0.9739340543746948,0.0,0.0
76,-0.04027975723147392,72.0592041015625,14.0,3.0,0.9292153120040894,1.4405354261398315,0.9949334859848022,0.0,0.0
78,-0.037279948592185974,77.94447326660156,15.0,3.0,0.9823721647262573,2.8330068588256836,1.1076322793960571,0.0,0.0
80,-0.04167080298066139,87.46812438964844,14.0,4.0,0.8846971988677979,9.152917861938477,1.4752209186553955,0.0,0.0
82,-0.03232581168413162,84.75775909423828,15.0,4.0,0.9471564292907715,8.183601379394531,1.1771713495254517,0.0,0.0
84,-0.06897152215242386,67.75812530517578,14.0,1.0,0.7121692895889282,-5.562420845031738,1.2572908401489258,0.0,0.0
86,-0.060710608959198,73.95632934570312,15.0,1.0,0.7716821432113647,-2.7371604442596436,1.295675277709961,0.0,0.0
88,-0.026775764301419258,66.14981079101562,11.0,4.0,0.6105471849441528,6.323216438293457,0.9517727494239807,0.0,0.0
90,-0.021817807108163834,65.6207504272461,11.0,2.0,0.9599272012710571,2.395876169204712,0.987578809261322,0.0,0.0
92,-0.022285934537649155,66.41629028320312,16.0,3.0,1.4105626344680786,2.167483329772949,1.1201541423797607,0.0,0.0
94,-0.019889002665877342,71.83828735351562,9.0,4.0,0.8816176056861877,6.572131156921387,0.9267392158508301,0.0,0.0
96,-0.019889002665877342,73.29902648925781,10.0,4.0,0.8714542388916016,7.060153484344482,0.9446800351142883,0.0,0.0
